model,horizon,origin_date,target_date,actual,forecast
gru,1,2024-03-01,2024-04-01,107.8,107.48185729980469
gru,1,2024-04-01,2024-05-01,108.3,108.63178253173828
gru,1,2024-05-01,2024-06-01,108.6,108.3529052734375
gru,1,2024-06-01,2024-07-01,109.1,108.6628646850586
gru,1,2024-07-01,2024-08-01,109.1,110.04534912109375
gru,1,2024-08-01,2024-09-01,108.6,109.29154968261719
gru,1,2024-09-01,2024-10-01,108.5,108.47988891601562
gru,1,2024-10-01,2024-11-01,108.9,108.43843841552734
gru,1,2024-11-01,2024-12-01,109.5,108.91199493408203
gru,1,2024-12-01,2025-01-01,109.9,110.01809692382812
gru,1,2025-01-01,2025-02-01,110.1,110.12751007080078
gru,1,2025-02-01,2025-03-01,110.3,110.4373550415039
gru,1,2025-03-01,2025-04-01,110.2,110.58785247802734
gru,1,2025-04-01,2025-05-01,109.9,110.0486068725586
gru,1,2025-05-01,2025-06-01,109.4,109.865966796875
gru,1,2025-06-01,2025-07-01,108.8,109.04397583007812
gru,1,2025-07-01,2025-08-01,108.1,108.12591552734375
gru,1,2025-08-01,2025-09-01,108.0,107.52782440185547
gru,1,2025-09-01,2025-10-01,107.7,107.80054473876953
gru,1,2025-10-01,2025-11-01,106.6,107.38191986083984
gru,1,2025-11-01,2025-12-01,105.6,105.81012725830078
gru,1,2025-12-01,2026-01-01,106.0,104.74568939208984
gru,1,2026-01-01,2026-02-01,105.9,106.3354721069336
gru,1,2026-02-01,2026-03-01,105.9,106.05752563476562
